1 _ 1,,,,,,
時間,ストローク,試験力,ストローク,試験力,ストローク,試験力
sec,mm,kN,mm,kN,mm,kN
45.4,0.756125,2.445801,1.51225,5.313055,0.7561458,3.254278
45.6,0.7594583,2.450411,1.518917,5.323362,0.7594792,3.260605
45.8,0.7627916,2.455489,1.525542,5.333233,0.7628125,3.266962
46,0.7660833,2.459152,1.53225,5.346838,0.766125,3.273821
46.2,0.7694375,2.464597,1.538917,5.357552,0.7694375,3.279511
46.4,0.7727917,2.470692,1.5455,5.365618,0.7727708,3.286012
46.6,0.7761458,2.475365,1.55225,5.380352,0.776125,3.293252
46.8,0.7794583,2.479442,1.558896,5.390382,0.7794583,3.299649
47,0.7827917,2.484401,1.5655,5.399903,0.7827917,3.305721
47.2,0.7861041,2.488836,1.57225,5.413866,0.786125,3.311817
47.4,0.7894375,2.493493,1.578917,5.424166,0.7894375,3.318222
47.6,0.7927917,2.498778,1.585521,5.433384,0.79275,3.32454
47.8,0.7961458,2.503721,1.592271,5.447873,0.796125,3.331351
48,0.7994792,2.508322,1.598917,5.45698,0.7994583,3.338575
48.2,0.8027917,2.513075,1.605521,5.466811,0.8027917,3.344424
48.4,0.8061042,2.517207,1.61225,5.479805,0.806125,3.351045
48.6,0.8094375,2.521698,1.618917,5.490565,0.8094583,3.357331
48.8,0.8127916,2.527165,1.6255,5.499419,0.8127708,3.363371
49,0.8161458,2.53191,1.63225,5.512309,0.816125,3.369761
49.2,0.8194583,2.536575,1.638896,5.523761,0.8194792,3.376714
49.4,0.8227916,2.541272,1.645521,5.533902,0.8227916,3.382754
49.6,0.826125,2.545865,1.65225,5.544909,0.826125,3.388683
49.8,0.8294375,2.549497,1.658917,5.556544,0.8294583,3.395081
50,0.8327917,2.554806,1.665542,5.566605,0.8327708,3.400707
50.2,0.8361458,2.559726,1.672208,5.575999,0.8361042,3.406858
50.4,0.8394791,2.564033,1.678896,5.5897,0.8394791,3.414695
50.6,0.8428125,2.568619,1.685542,5.599737,0.8428125,3.421084
50.8,0.846125,2.57318,1.692208,5.60921,0.846125,3.42675
51,0.8494375,2.577241,1.698938,5.622816,0.8494583,3.432997
51.2,0.8527708,2.581819,1.705562,5.633243,0.8527708,3.438632
51.4,0.856125,2.587334,1.712208,5.641556,0.8561041,3.444775
51.6,0.8594583,2.59165,1.718938,5.65637,0.8594791,3.451769
51.8,0.8627917,2.595623,1.725604,5.665239,0.8627917,3.458142
52,0.866125,2.600574,1.732208,5.674338,0.866125,3.463618
52.2,0.8694375,2.604954,1.738958,5.688103,0.8694583,3.470111
52.4,0.8727708,2.608705,1.745604,5.698887,0.8727708,3.475849
52.6,0.8761458,2.614395,1.752167,5.706008,0.8760833,3.481547
52.8,0.8794583,2.618599,1.758937,5.720639,0.8794583,3.488755
53,0.8827916,2.62262,1.765563,5.72962,0.8827916,3.495026
53.2,0.8861458,2.627524,1.772187,5.739681,0.886125,3.500962
53.4,0.8894375,2.631505,1.778937,5.751792,0.8894583,3.506637
53.6,0.89275,2.63509,1.785604,5.76241,0.8927916,3.513177
53.8,0.896125,2.640684,1.792187,5.771184,0.8960833,3.518756
54,0.8994583,2.645159,1.798917,5.781849,0.8994583,3.525066
54.2,0.9027917,2.649101,1.805562,5.793802,0.9028125,3.531845
54.4,0.906125,2.653583,1.812187,5.803648,0.906125,3.537925
54.6,0.9094375,2.657541,1.818896,5.814441,0.9094583,3.543766
54.8,0.91275,2.661379,1.825562,5.826473,0.9127917,3.549663
55,0.9161041,2.666434,1.832208,5.836669,0.9160833,3.554893
55.2,0.9194583,2.671599,1.838896,5.846675,0.9194375,3.560972
55.4,0.9227917,2.675017,1.845604,5.859629,0.9227917,3.568085
55.6,0.926125,2.679459,1.852229,5.869158,0.926125,3.573879
55.8,0.9294583,2.683711,1.858875,5.87817,0.9294583,3.579577
56,0.93275,2.687319,1.865583,5.891418,0.9327917,3.58568
56.2,0.9361042,2.691968,1.87225,5.90086,0.9361042,3.591728
56.4,0.9394792,2.697309,1.878854,5.909109,0.9394375,3.597601
56.6,0.9427916,2.701298,1.885583,5.923811,0.9427916,3.604348
56.8,0.946125,2.70528,1.89225,5.93249,0.946125,3.610245
57,0.9494792,2.709667,1.898854,5.941606,0.9494583,3.615483
57.2,0.9527708,2.713068,1.905604,5.955163,0.9527916,3.62184
57.4,0.9561042,2.717551,1.91225,5.964613,0.9561042,3.627332
57.6,0.9594584,2.722144,1.918813,5.973212,0.9594166,3.632514
57.8,0.9628125,2.72634,1.925583,5.987016,0.9627708,3.639738
58,0.966125,2.730433,1.932229,5.996092,0.9661458,3.645961
58.2,0.9694583,2.734407,1.938854,6.00632,0.9694583,3.651595
58.4,0.9727708,2.7378,1.945583,6.018368,0.9727917,3.656999
58.6,0.9760833,2.741893,1.95225,6.028859,0.9761041,3.662721
58.8,0.9794583,2.746876,1.958854,6.038006,0.9794167,3.66807
59,0.9828125,2.751398,1.965604,6.049633,0.9827708,3.674682
59.2,0.986125,2.754657,1.97225,6.060298,0.9861458,3.681103
59.4,0.9894583,2.758718,1.978896,6.069788,0.9894583,3.686388
59.6,0.9927917,2.763057,1.985583,6.080142,0.9927917,3.692587
59.8,0.9961042,2.76649,1.99225,6.091968,0.996125,3.697984
60,0.9994583,2.770996,1.998875,6.101235,0.9994375,3.702887
60.2,1.002813,2.775168,2.005583,6.110668,1.002771,3.709086
60.4,1.006125,2.778928,2.01225,6.123368,1.006146,3.715992
60.6,1.009458,2.783005,2.018917,6.133453,1.009458,3.721849
60.8,1.012792,2.786636,2.025563,6.141909,1.012792,3.72715
61,1.016083,2.790006,2.032271,6.154696,1.016125,3.733238
61.2,1.019437,2.794759,2.038917,6.164551,1.019437,3.737799
61.4,1.022792,2.799749,2.0455,6.171378,1.022771,3.74403
61.6,1.026146,2.803016,2.05225,6.185802,1.026125,3.750126
61.8,1.029458,2.80683,2.058896,6.194592,1.029458,3.756468
62,1.032792,2.81105,2.0655,6.203326,1.032792,3.762015
62.2,1.036104,2.814531,2.07225,6.215978,1.036146,3.767832
62.4,1.039438,2.818632,2.078917,6.226222,1.039438,3.77268
62.6,1.042792,2.823059,2.0855,6.234169,1.04275,3.777814
62.8,1.046125,2.826921,2.092292,6.248498,1.046125,3.784561
63,1.049479,2.83076,2.098917,6.256954,1.049458,3.790601
63.2,1.052792,2.834225,2.105521,6.2663,1.052792,3.796069
