"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"79.6","4.234656","1.326125"
"79.8","4.239623","1.329458"
"80","4.243771","1.33275"
"80.2","4.24904","1.336104"
"80.4","4.255072","1.339458"
"80.6","4.260127","1.342792"
"80.8","4.264458","1.346125"
"81","4.269966","1.349458"
"81.2","4.274273","1.352771"
"81.4","4.278962","1.356104"
"81.6","4.28501","1.359458"
"81.8","4.289802","1.362792"
"82","4.29434","1.366125"
"82.2","4.299489","1.369458"
"82.4","4.304147","1.372771"
"82.6","4.308716","1.376083"
"82.8","4.314558","1.379458"
"83","4.319938","1.382813"
"83.2","4.324476","1.386125"
"83.4","4.329427","1.389458"
"83.6","4.333925","1.392792"
"83.8","4.338542","1.396104"
"84","4.343692","1.399458"
"84.2","4.349017","1.402812"
"84.4","4.354215","1.406146"
"84.6","4.358665","1.409458"
"84.8","4.363489","1.412792"
"85","4.367661","1.416083"
"85.2","4.372573","1.419438"
"85.4","4.378319","1.422812"
"85.6","4.383683","1.426146"
"85.8","4.387339","1.429458"
"86","4.392648","1.432792"
"86.2","4.39721","1.436104"
"86.4","4.402089","1.439438"
"86.6","4.407183","1.442812"
"86.8","4.412532","1.446146"
"87","4.416561","1.449479"
"87.2","4.421329","1.452792"
"87.4","4.426225","1.456104"
"87.6","4.429889","1.459417"
"87.8","4.4355","1.462771"
"88","4.441198","1.466125"
"88.2","4.445314","1.469458"
"88.4","4.450067","1.472792"
"88.6","4.454502","1.476104"
"88.8","4.458857","1.479437"
"89","4.464332","1.482771"
"89.2","4.469141","1.486146"
"89.4","4.473821","1.489458"
"89.6","4.478574","1.492792"
"89.8","4.482897","1.496125"
"90","4.486775","1.499417"
"90.2","4.491798","1.502771"
"90.4","4.497448","1.506146"
"90.6","4.502201","1.509458"
"90.8","4.506405","1.512792"
"91","4.511158","1.516125"
"91.2","4.515561","1.519437"
"91.4","4.519518","1.522771"
"91.6","4.524922","1.526125"
"91.8","4.529881","1.529479"
"92","4.53434","1.532792"
"92.2","4.538846","1.536125"
"92.4","4.542994","1.539438"
"92.6","4.547127","1.54275"
"92.8","4.552516","1.546125"
"93","4.557888","1.549479"
"93.2","4.561877","1.552792"
"93.4","4.566574","1.556125"
"93.6","4.571351","1.559458"
"93.8","4.575451","1.562771"
"94","4.580665","1.566125"
"94.2","4.585481","1.569479"
"94.4","4.589645","1.572812"
"94.6","4.594127","1.576146"
"94.8","4.598514","1.579458"
"95","4.602138","1.582771"
"95.2","4.607233","1.586104"
"95.4","4.612192","1.589458"
"95.6","4.617151","1.592792"
"95.8","4.621331","1.596125"
"96","4.625853","1.599458"
"96.2","4.630216","1.602771"
"96.4","4.634762","1.606104"
"96.6","4.639673","1.609458"
"96.8","4.64464","1.612792"
"97","4.648765","1.616125"
"97.2","4.653128","1.619458"
"97.4","4.657181","1.622771"
"97.6","4.661298","1.626083"
"97.8","4.666734","1.629458"
"98","4.671971","1.632813"
"98.2","4.676048","1.636125"
"98.4","4.67976","1.639479"
"98.6","4.684941","1.642792"
"98.8","4.688287","1.646104"
"99","4.693071","1.649458"
"99.2","4.698038","1.652812"
"99.4","4.702345","1.656146"
"99.6","4.706351","1.659479"
"99.8","4.710682","1.662792"
"100","4.713996","1.666104"
"100.2","4.718486","1.669438"
"100.4","4.724185","1.672792"
"100.6","4.728166","1.676125"
"100.8","4.732815","1.679458"
"101","4.736892","1.682792"
"101.2","4.741279","1.686104"
"101.4","4.745642","1.689438"
"101.6","4.750434","1.692792"
"101.8","4.755163","1.696146"
"102","4.759081","1.699479"
"102.2","4.763905","1.702812"
"102.4","4.767227","1.706104"
"102.6","4.770573","1.709417"
"102.8","4.776207","1.712792"
"103","4.781055","1.716125"
"103.2","4.784878","1.719458"
"103.4","4.789511","1.722792"
"103.6","4.793254","1.726104"
"103.8","4.797212","1.729437"
"104","4.802164","1.732771"
"104.2","4.807281","1.736146"
"104.4","4.811247","1.739458"
"104.6","4.814863","1.742792"
"104.8","4.819695","1.746125"
"105","4.822659","1.749437"
"105.2","4.827174","1.752771"
"105.4","4.832633","1.756146"
"105.6","4.836774","1.759458"
"105.8","4.840724","1.762792"
"106","4.84461","1.766125"
"106.2","4.848202","1.769437"
"106.4","4.852104","1.772771"
"106.6","4.857191","1.776125"
"106.8","4.861426","1.779479"
"107","4.865535","1.782792"
"107.2","4.869565","1.786146"
"107.4","4.872998","1.789438"
"107.6","4.876733","1.79275"
"107.8","4.881843","1.796125"
"108","4.886627","1.799458"
"108.2","4.890688","1.802792"
"108.4","4.894503","1.806125"
"108.6","4.898532","1.809438"
"108.8","4.902752","1.812771"
"109","4.906821","1.816125"
"109.2","4.911518","1.819479"
"109.4","4.915539","1.822792"
"109.6","4.919529","1.826125"
"109.8","4.923693","1.829458"
"110","4.927063","1.83275"
"110.2","4.931235","1.836104"
"110.4","4.936472","1.839458"
"110.6","4.940518","1.842813"
