"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"92.2","7.65636","3.072271"
"92.4","7.664808","3.078917"
"92.6","7.671054","3.0855"
"92.8","7.683539","3.092292"
"93","7.69066","3.098917"
"93.2","7.698337","3.105542"
"93.4","7.707993","3.112271"
"93.6","7.716942","3.118917"
"93.8","7.723848","3.1255"
"94","7.733838","3.13225"
"94.2","7.742723","3.138875"
"94.4","7.750964","3.145542"
"94.6","7.760215","3.15225"
"94.8","7.768989","3.158917"
"95","7.776912","3.165542"
"95.2","7.7847","3.172229"
"95.4","7.7957","3.178896"
"95.6","7.803734","3.185521"
"95.8","7.812174","3.192208"
"96","7.824103","3.198917"
"96.2","7.832304","3.205562"
"96.4","7.838631","3.212208"
"96.6","7.851934","3.218937"
"96.8","7.858594","3.225583"
"97","7.865596","3.232208"
"97.2","7.877056","3.238958"
"97.4","7.884964","3.245604"
"97.6","7.890376","3.252167"
"97.8","7.902654","3.258937"
"98","7.910005","3.265563"
"98.2","7.917229","3.272187"
"98.4","7.928586","3.278938"
"98.6","7.936295","3.285604"
"98.8","7.943114","3.292187"
"99","7.952396","3.298917"
"99.2","7.961639","3.305562"
"99.4","7.969046","3.312167"
"99.6","7.977637","3.318896"
"99.8","7.98773","3.325562"
"100","7.995757","3.332208"
"100.2","8.003004","3.338896"
"100.4","8.014099","3.345604"
"100.6","8.021164","3.352229"
"100.8","8.028483","3.358875"
"101","8.039308","3.365583"
"101.2","8.047009","3.372229"
"101.4","8.052516","3.378833"
"101.6","8.065152","3.385583"
"101.8","8.071979","3.392229"
"102","8.078711","3.398854"
"102.2","8.089964","3.405604"
"102.4","8.097903","3.412271"
"102.6","8.103506","3.418833"
"102.8","8.115387","3.425604"
"103","8.122897","3.432229"
"103.2","8.129954","3.438854"
"103.4","8.140278","3.445583"
"103.6","8.148869","3.45225"
"103.8","8.155942","3.458854"
"104","8.165749","3.465604"
"104.2","8.173553","3.47225"
"104.4","8.181437","3.478875"
"104.6","8.189702","3.485583"
"104.8","8.198571","3.492271"
"105","8.206193","3.498875"
"105.2","8.213957","3.505563"
"105.4","8.224161","3.51225"
"105.6","8.231823","3.518917"
"105.8","8.238299","3.525563"
"106","8.24945","3.53225"
"106.2","8.256745","3.538917"
"106.4","8.26195","3.5455"
"106.6","8.274181","3.55225"
"106.8","8.281096","3.558896"
"107","8.287509","3.5655"
"107.2","8.298516","3.57225"
"107.4","8.306463","3.578917"
"107.6","8.312328","3.585521"
"107.8","8.323948","3.592271"
"108","8.330886","3.598938"
"108.2","8.337379","3.605521"
"108.4","8.347011","3.612271"
"108.6","8.354974","3.618917"
"108.8","8.361514","3.6255"
"109","8.371194","3.63225"
"109.2","8.379762","3.638896"
"109.4","8.386843","3.645521"
"109.6","8.395155","3.652271"
"109.8","8.40439","3.658917"
"110","8.411296","3.665542"
"110.2","8.417956","3.672208"
"110.4","8.428614","3.678917"
"110.6","8.436251","3.685562"
"110.8","8.442624","3.692208"
"111","8.452868","3.698896"
"111.2","8.461015","3.705562"
"111.4","8.466641","3.712188"
"111.6","8.478475","3.718937"
"111.8","8.484547","3.725604"
"112","8.490602","3.732208"
"112.2","8.500886","3.738958"
"112.4","8.508213","3.745604"
"112.6","8.513181","3.752167"
"112.8","8.524649","3.758937"
"113","8.531277","3.765583"
"113.2","8.53885","3.772208"
"113.4","8.548355","3.778938"
"113.6","8.556183","3.785583"
"113.8","8.562446","3.792167"
"114","8.571458","3.798917"
"114.2","8.579929","3.805562"
"114.4","8.58686","3.812167"
"114.6","8.594553","3.818896"
"114.8","8.603907","3.825562"
"115","8.610837","3.832208"
"115.2","8.617799","3.838896"
"115.4","8.628051","3.845604"
"115.6","8.634837","3.852229"
