, kp = 27.000000  ti = 0.000000  td = 0.000000
Time , RPM
13.118,2155
13.128,2185
13.138,2155
13.148,2155
13.158,2155
13.168,2153
13.178,2155
13.189,2153
13.199,2155
13.209,2155
13.219,2152
13.229,2155
13.239,2153
13.249,2185
13.259,2153
13.269,2155
13.279,2185
13.289,2155
13.299,2184
13.309,2155
13.319,2155
13.329,2155
13.339,2152
13.349,2155
13.359,2185
13.369,2155
13.379,2155
13.389,2156
13.399,2152
13.409,2155
13.419,2124
13.429,2155
13.439,2155
13.449,2153
13.459,2185
13.469,2155
13.479,2155
13.489,2152
13.499,2155
13.509,2152
13.519,2184
13.529,2155
13.539,2155
13.549,2185
13.559,2155
13.569,2185
13.579,2155
13.589,2155
13.599,2156
13.609,2152
13.62,2155
13.63,2185
13.64,2155
13.65,2155
13.66,2156
13.67,2152
13.68,2155
13.69,2185
13.7,2155
13.71,2155
13.72,2185
13.73,2152
13.74,2155
13.75,2182
13.76,2155
13.77,2155
13.78,2155
13.79,2153
13.8,2155
13.81,2155
13.82,2153
13.83,2155
13.84,2185
13.85,2155
13.86,2155
13.87,2153
13.88,2155
13.89,2183
13.9,2155
13.91,2155
13.92,2153
13.93,2155
13.94,2155
13.95,2185
13.96,2155
13.97,2183
13.98,2155
13.99,2155
14,2156
14.01,2185
14.02,2155
14.03,2155
14.04,2155
14.05,2185
14.06,2155
14.071,2155
14.081,2153
14.091,2155
14.101,2155
14.111,2185
14.121,2153
14.131,2155
14.141,2155
14.151,2153
14.161,2155
14.171,2184
14.181,2155
14.191,2155
14.201,2155
14.211,2185
14.221,2155
14.231,2155
14.241,2185
14.251,2155
14.261,2155
14.271,2155
14.281,2185
14.291,2155
14.301,2155
14.311,2155
14.321,2155
14.331,2153
14.341,2155
14.351,2185
14.361,2155
14.371,2155
14.381,2156
14.391,2185
14.401,2155
14.411,2155
14.421,2155
14.431,2153
14.441,2155
14.451,2185
14.461,2155
14.471,2155
14.481,2155
14.491,2184
14.501,2155
14.511,2155
14.521,2125
14.531,2155
14.542,2155
14.552,2185
14.562,2155
14.572,2185
14.582,2155
14.592,2155
14.602,2155
14.612,2185
14.622,2155
14.632,2184
14.642,2155
14.652,2155
14.662,2155
14.672,2185
14.682,2155
14.692,2155
14.702,2155
14.712,2184
14.722,2155
14.732,2155
14.742,2185
14.752,2155
14.762,2155
14.772,2155
14.782,2185
14.792,2155
14.802,2155
14.812,2155
14.822,2153
14.832,2155
14.842,2185
